actual_mean_temp	average_precipitation
98	0.02
98	0.01
94	0.02
90	0.02
94	0.02
95	0.02
98	0.02
96	0.03
92	0.02
96	0.03
98	0.03
99	0.03
95	0.03
92	0.04
95	0.04
96	0.04
96	0.04
94	0.04
96	0.04
96	0.04
96	0.05
101	0.04
104	0.04
105	0.04
98	0.05
96	0.04
94	0.04
96	0.05
101	0.04
102	0.04
98	0.04
90	0.03
90	0.04
92	0.04
92	0.03
94	0.04
96	0.03
94	0.04
95	0.03
94	0.03
94	0.04
98	0.03
88	0.03
84	0.04
93	0.03
94	0.03
97	0.03
99	0.03
91	0.03
83	0.03
87	0.04
81	0.03
83	0.03
87	0.03
91	0.04
92	0.03
90	0.03
93	0.03
95	0.03
96	0.03
97	0.03
96	0.02
95	0.03
96	0.02
96	0.03
95	0.02
91	0.03
96	0.02
94	0.03
81	0.02
86	0.03
88	0.02
90	0.02
91	0.02
92	0.02
92	0.02
96	0.02
86	0.03
84	0.01
86	0.02
90	0.02
90	0.02
90	0.02
91	0.02
90	0.02
91	0.02
92	0.01
92	0.02
82	0.02
79	0.02
78	0.02
78	0.02
79	0.02
81	0.02
83	0.02
84	0.02
83	0.02
82	0.02
81	0.02
76	0.02
77	0.02
79	0.01
81	0.02
82	0.02
78	0.02
80	0.02
80	0.02
80	0.01
80	0.02
79	0.02
82	0.02
78	0.02
80	0.02
80	0.02
81	0.01
82	0.02
83	0.02
80	0.02
80	0.02
77	0.01
78	0.02
79	0.02
81	0.02
76	0.02
67	0.02
64	0.02
67	0.02
73	0.02
73	0.02
72	0.02
74	0.02
74	0.02
72	0.02
71	0.01
70	0.02
71	0.02
67	0.02
67	0.02
62	0.02
59	0.01
61	0.02
62	0.02
61	0.03
63	0.02
59	0.02
61	0.03
57	0.03
58	0.03
59	0.02
67	0.03
68	0.03
66	0.03
67	0.02
62	0.03
62	0.02
68	0.03
64	0.03
65	0.03
64	0.03
64	0.02
66	0.03
66	0.03
66	0.03
66	0.03
68	0.03
59	0.03
55	0.03
55	0.03
57	0.03
56	0.03
56	0.03
55	0.03
56	0.02
56	0.03
57	0.03
58	0.02
55	0.03
55	0.03
48	0.02
48	0.03
48	0.03
49	0.03
50	0.03
43	0.03
41	0.03
43	0.03
44	0.03
50	0.03
57	0.03
62	0.03
64	0.03
63	0.03
63	0.03
60	0.03
63	0.03
62	0.03
57	0.03
57	0.04
60	0.03
62	0.03
60	0.03
62	0.03
63	0.03
62	0.03
64	0.02
57	0.03
54	0.03
64	0.02
63	0.03
62	0.03
64	0.03
64	0.02
65	0.03
58	0.03
57	0.03
60	0.03
61	0.03
63	0.03
65	0.02
67	0.03
69	0.03
67	0.03
69	0.03
69	0.03
70	0.03
68	0.03
68	0.02
68	0.03
69	0.04
71	0.03
67	0.03
66	0.04
65	0.03
66	0.04
67	0.04
67	0.04
64	0.04
65	0.03
59	0.04
60	0.04
64	0.04
64	0.03
65	0.04
69	0.04
59	0.04
56	0.04
59	0.04
61	0.03
67	0.04
69	0.04
69	0.03
70	0.04
73	0.04
73	0.03
77	0.04
74	0.04
76	0.03
76	0.04
78	0.04
78	0.03
72	0.03
65	0.04
71	0.03
73	0.02
75	0.03
75	0.03
73	0.03
75	0.02
77	0.03
79	0.02
80	0.02
81	0.02
83	0.02
82	0.02
79	0.02
76	0.01
73	0.02
76	0.02
75	0.01
74	0.02
71	0.02
70	0.01
69	0.02
72	0.01
73	0.01
76	0.01
77	0.01
81	0.01
75	0
66	0.01
69	0.01
75	0
77	0.01
79	0.01
78	0
77	0.01
73	0
70	0
69	0.01
65	0
72	0.01
81	0
84	0.01
85	0
86	0
85	0.01
86	0
75	0.01
77	0
80	0
76	0.01
68	0
67	0
75	0.01
82	0
81	0.01
80	0
79	0
67	0.01
66	0
75	0.01
78	0
76	0
80	0.01
82	0
74	0
74	0.01
76	0
80	0
84	0.01
85	0
85	0
88	0
90	0.01
93	0
92	0
90	0
88	0
85	0
81	0
85	0
86	0
92	0
89	0
88	0
91	0
91	0
93	0
95	0
99	0
99	0
100	0
101	0.01
100	0
96	0
99	0
97	0
99	0
100	0
100	0
98	0
99	0
99	0.01
98	0
96	0
